id,user_id,automation_key,automation_name,room_key,control_type,status,last_action,last_reason,expires_at,created_at,updated_at
f4c81a96-b6b1-4b9c-88ca-4b362f8d995a,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_cucina_scale,Routine cucina → scale,scale,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio cucina → scale è stato osservato 20 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 18:35:40.500632+00,2026-06-23 19:51:38.181+00
68b59f0b-3d1c-4587-9c0f-41f52eb10af4,d8d8e77a-4af3-42e1-9810-16f534be4093,empty_house_active_lights_media,Casa vuota con luci o TV attive,null,suggest_empty_house_shutdown_review,needs_review,proposed,"La casa risulta vuota, ma risultano ancora attivi: media_player.lg_webos_tv_uk6200pla. Vuoi che GhostMe ti suggerisca di spegnerli quando succede? | confidenza 8/10",2026-07-07 18:05:41.223+00,2026-06-23 12:25:41.687272+00,2026-06-23 18:05:41.223+00
6933ec8d-1062-4342-b2ae-9ae878aa2786,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_scale_cucina,Routine scale → cucina,cucina,suggest_route_as_presence_rule,enabled,approved,"Il passaggio scale → cucina è stato osservato 23 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: yes",null,2026-06-23 13:05:39.34538+00,2026-06-23 15:48:56.732+00
71e3494e-931c-4b31-9b9f-a7be358f5475,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_scale_salotto,Routine scale → salotto,salotto,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio scale → salotto è stato osservato 24 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 12:40:39.620356+00,2026-06-23 15:11:10.707+00
dc2ab9bf-d464-40a5-bd15-6f67eaa70e57,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_salotto_scale,Routine salotto → scale,scale,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio salotto → scale è stato osservato 28 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 12:45:38.99155+00,2026-06-23 15:11:09.89+00
4032a593-c307-491a-a960-cc0c424c9e92,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_bagno_armadio,Routine bagno → armadio,armadio,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio bagno → armadio è stato osservato 32 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 13:00:43.905545+00,2026-06-23 15:11:09.383+00
b6ecbb6b-f812-49fd-b370-6280aa8cced9,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_armadio_scale,Routine armadio → scale,scale,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio armadio → scale è stato osservato 20 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 12:30:39.503433+00,2026-06-23 12:31:53.736+00
6d76553d-74c2-4d52-abd4-fced4a45ff23,d8d8e77a-4af3-42e1-9810-16f534be4093,route_review_armadio_bagno,Routine armadio → bagno,bagno,suggest_route_as_presence_rule,disabled,rejected,"Il passaggio armadio → bagno è stato osservato 26 volte. Vuoi salvarlo come routine suggerita, senza eseguire automazioni automatiche? | confidenza 10/10 | risposta utente: no",null,2026-06-23 12:25:42.342603+00,2026-06-23 12:29:48.607+00
265ecefd-039a-4072-b4e6-63a0af2f6c87,d8d8e77a-4af3-42e1-9810-16f534be4093,kitchen_tv_hold_before_off,Protezione cucina con TV accesa,cucina,suggest_hold_kitchen_auto_off,pending_confirmation,planned,Ho visto la TV cucina accesa e spegnimenti recenti in cucina. Posso preparare una regola per chiedere conferma prima di spegnere la cucina quando la TV è accesa. | confidenza 7/10,null,2026-06-19 15:10:32.666577+00,2026-06-23 12:20:38.232+00
1ea5aa45-8168-4ad6-a1e8-a667215055ad,d8d8e77a-4af3-42e1-9810-16f534be4093,auto_off_review_two_people,Revisione spegnimenti automatici con due persone,null,suggest_hold_auto_off,pending_confirmation,planned,Hai confermato che quando siete in due GhostMe deve evitare spegnimenti aggressivi. Ho visto spegnimenti recenti in stanze principali: posso preparare una regola di controllo per chiedere conferma prima di spegnere. | confidenza 7/10,null,2026-06-13 17:52:04.412867+00,2026-06-23 12:20:37.893+00
